YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2016,10,5,0,32.2,23.5,27.85,80,3,60
2016,10,6,51,31.4,24.5,27.95,83,2,240
2016,10,7,124.8,27.5,23.1,25.3,90,2,170
2016,10,8,37,28.1,23.2,25.65,90,2,180
2016,10,9,19.6,30.6,24.5,27.55,85,3,210
2016,10,10,30,31.3,23.9,27.6,86,3,230
2016,10,11,5,31.2,24.7,27.95,86,3,220
2016,10,12,59,31.5,23.9,27.7,88,2,70
2016,10,13,40,32.2,23.2,27.7,86,2,40
2016,10,14,0.1,31.4,24.3,27.85,81,3,350
2016,10,15,50.3,31,24.3,27.65,83,3,330
2016,10,16,45,28.4,22.1,25.25,88,5,200
2016,10,17,5.8,32.4,24.3,28.35,92,2,80
2016,10,18,0,33.3,25.3,29.3,80,3,230
2016,10,19,7.6,31.9,25.5,28.7,80,7,280
2016,10,20,42,30.2,24.3,27.25,89,4,200
2016,10,21,0,30.4,24.5,27.45,87,3,200
2016,10,22,-1,33.2,25.4,29.3,83,3,50
2016,10,23,0,33.5,24.1,28.8,81,3,40
2016,10,24,0,33.1,24.5,28.8,80,4,80
2016,10,25,0,33.4,26,29.7,68,4,40
2016,10,26,0,33.8,25.3,29.55,68,4,80
2016,10,27,0,34.4,25,29.7,71,4,80
2016,10,28,0,33.8,25.4,29.6,72,4,80
2016,10,29,0,34.3,24.6,29.45,70,4,40
2016,10,30,0,34.2,24.7,29.45,68,4,40
2016,10,31,0,34.6,24.2,29.4,66,5,40
2016,11,1,0,34,24,29,70,5,80
2016,11,2,0,32.9,25.4,29.15,80,5,40
2016,11,3,0,33.1,24.4,28.75,79,3,50
2016,11,4,0,32.7,24.2,28.45,77,4,80
2016,11,5,0,33.6,25.4,29.5,80,3,90
2016,11,6,0,32.4,23.3,27.85,77,4,50
2016,11,7,0,33,23.5,28.25,68,3,70
2016,11,8,0,32.5,20.7,26.6,66,3,60
2016,11,9,0,32.9,20.5,26.7,60,4,60
2016,11,10,0,32.4,24.1,28.25,66,3,80
2016,11,11,0,32,23.6,27.8,68,3,80
2016,11,12,0,32.5,24.5,28.5,68,4,80
2016,11,13,0,34.2,22.7,28.45,62,4,60
2016,11,14,0,33.8,23,28.4,69,3,50
2016,11,15,0,30,24,27,79,3,60
2016,11,16,0,33,24.8,28.9,72,4,60
2016,11,17,-1,33.9,25.8,29.85,70,5,80
2016,11,18,1,32.1,25,28.55,70,4,80
2016,11,19,-1,30.6,25.4,28,80,5,80
2016,11,20,0,33.2,24.4,28.8,73,4,80
2016,11,21,0,33.9,23.1,28.5,66,3,50
2016,11,22,-1,33.2,23.5,28.35,63,4,50
2016,11,23,0,33,22.5,27.75,69,3,70
2016,11,24,0,32,23.3,27.65,70,4,40
2016,11,25,-1,30.2,23.4,26.8,71,5,60
2016,11,26,1,27.3,24.2,25.75,82,4,50
2016,11,27,0,32.5,24.7,28.6,72,3,80
2016,11,28,0,32.8,25.6,29.2,71,3,80
2016,11,29,-1,33.3,24.8,29.05,65,4,80
2016,11,30,0,32.9,24.6,28.75,67,4,40
2016,12,1,0,33.3,23.5,28.4,62,4,40
2016,12,2,0,33,24.1,28.55,70,5,50
2016,12,3,1,33.2,24.1,28.65,63,5,60
2016,12,4,0,32.8,23.6,28.2,64,4,40
2016,12,5,-1,32.4,24.1,28.25,73,5,70
2016,12,6,0,32.8,24.7,28.75,61,4,40
2016,12,7,0,33.4,24.7,29.05,64,4,40
2016,12,8,0.6,32.7,24,28.35,73,3,80
2016,12,9,0,32.4,24.6,28.5,73,4,50
2016,12,10,2,31.5,22.8,27.15,81,2,50
2016,12,11,0,32.8,22,27.4,68,3,80
2016,12,12,-1,32.9,25,28.95,70,2,60
2016,12,13,-1,30.3,24,27.15,81,2,60
2016,12,14,0,31.3,25.4,28.35,75,4,50
2016,12,15,0,30.3,24.5,27.4,67,6,60
2016,12,16,0,31.5,23.8,27.65,66,7,60
2016,12,17,3,29,23.5,26.25,69,7,60
2016,12,18,-1,29.2,23,26.1,71,5,60
2016,12,19,0,32.4,23.2,27.8,59,4,60
2016,12,20,0,32.7,24.2,28.45,66,5,60
2016,12,21,-1,32,23.3,27.65,67,4,60
2016,12,22,0,33,23.3,28.15,63,2,60
2016,12,23,0,32.8,22.3,27.55,58,6,60
2016,12,24,0,32.2,24.6,28.4,64,5,60
2016,12,25,1,34.5,21.6,28.05,56,4,60
2016,12,26,41,27,21.8,24.4,86,3,90
2016,12,27,0.1,32,24,28,79,3,80
2016,12,28,0,33,22.5,27.75,75,3,70
2016,12,29,0,33.4,24.6,29,70,4,60
2016,12,30,0,32.4,24,28.2,70,5,60
2016,12,31,0.5,32,24.2,28.1,68,5,60
2017,1,1,0,31.8,22.7,27.25,63,6,60
2017,1,2,0,31.6,24.4,28,60,6,70
2017,1,3,0,32.4,23.6,28,60,4,60
2017,1,4,0,31.1,24.6,27.85,65,4,60
2017,1,5,0,31.4,22,26.7,70,2,60
2017,1,6,0,31.4,22.5,26.95,64,3,60
2017,1,7,0,31.5,19.5,25.5,67,3,60
2017,1,8,0,30.8,20.4,25.6,71,1,70
2017,1,9,0,31.7,23.5,27.6,61,4,60
2017,1,10,0.5,29.1,23.5,26.3,74,3,70
2017,1,11,0.5,29.7,23.4,26.55,66,4,60
2017,1,12,0,29.8,23,26.4,69,3,80
2017,1,13,0,32.2,23,27.6,68,2,60
2017,1,14,0,33,22.4,27.7,70,3,60
2017,1,15,0,32.5,24,28.25,68,4,60
2017,1,16,0,31,23,27,62,5,60
2017,1,17,0,30.3,24.5,27.4,60,5,60
2017,1,18,0,31.3,22.7,27,56,6,70
2017,1,19,0,31.7,22.1,26.9,59,3,60
2017,1,20,0,31,23.2,27.1,59,5,70
2017,1,21,0,31.5,22.6,27.05,59,4,70
2017,1,22,1,31.6,22.6,27.1,64,2,90
2017,1,23,5.4,27.8,20.8,24.3,87,4,80
2017,1,24,-1,30.7,20.3,25.5,73,3,80
2017,1,25,0,29.8,21.8,25.8,69,3,80
2017,1,26,0,31.3,22.3,26.8,67,5,60
2017,1,27,0,30.6,22.3,26.45,73,5,60
2017,1,28,0,30.1,23,26.55,79,4,60
2017,1,29,0,30.8,23.6,27.2,61,3,90
2017,1,30,0,31.8,24.5,28.15,66,3,70
2017,1,31,0,33.4,24.1,28.75,64,3,60
2017,2,1,1.5,33.7,22.5,28.1,71,3,90
2017,2,2,2,31,23.5,27.25,74,4,70
2017,2,3,0,31.1,23.1,27.1,63,4,60
2017,2,4,0,31.4,22.8,27.1,60,4,60
2017,2,5,0,31.7,23.8,27.75,68,3,80
2017,2,6,0,31,23.6,27.3,63,3,60
2017,2,7,0,32.2,21.6,26.9,57,4,70
2017,2,8,0,31.8,21.2,26.5,65,3,70
2017,2,9,0,31.1,21.5,26.3,72,2,80
2017,2,10,0,31.5,22.5,27,60,3,80
2017,2,11,0,30.6,22.2,26.4,55,3,70
2017,2,12,0,30.2,21.4,25.8,58,6,70
2017,2,13,0,29.3,19.8,24.55,60,6,50
2017,2,14,0,29.2,18.8,24,52,4,60
2017,2,15,0,29.8,21.9,25.85,51,4,60
2017,2,16,0,31.5,22,26.75,56,7,50
2017,2,17,0,30.8,22.5,26.65,62,5,60
2017,2,18,0,31.9,24.1,28,72,4,70
2017,2,19,0,31,23,27,64,2,80
2017,2,20,0,33.5,24.2,28.85,63,7,70
2017,2,21,0,33.4,23.5,28.45,62,4,60
2017,2,22,0,33.5,23.5,28.5,60,4,60
2017,2,23,0,32.4,23.5,27.95,66,3,90
2017,2,24,0,33.6,23.5,28.55,64,3,80
2017,2,25,0,34.5,23.9,29.2,62,4,80
2017,2,26,0.5,32.7,23.4,28.05,66,2,80
2017,2,27,0,33.9,23.2,28.55,60,3,60
2017,2,28,0,33.2,22.8,28,64,4,80
2017,3,1,0,33.6,24.5,29.05,67,4,60
2017,3,2,0,31.6,23,27.3,72,2,70
2017,3,3,0,33.4,22.8,28.1,63,4,60
2017,3,4,0,29.9,22.7,26.3,70,3,70
2017,3,5,0,33.5,21.6,27.55,62,4,60
2017,3,6,0,32.6,21.9,27.25,71,3,60
2017,3,7,0,33.4,21.8,27.6,65,3,70
2017,3,8,0,34.3,22.4,28.35,61,3,60
2017,3,9,0,32.6,21.8,27.2,62,4,80
2017,3,10,0,33.8,21.8,27.8,59,2,70
2017,3,11,0,34.5,22,28.25,62,2,100
2017,3,12,0,35,22.5,28.75,58,2,80
2017,3,13,0,32.7,23.5,28.1,69,2,50
2017,3,14,0,32.4,24.3,28.35,70,3,60
2017,3,15,0,34.8,24.5,29.65,59,4,80
2017,3,16,0,33.8,22.8,28.3,57,3,60
2017,3,17,0,33.5,23,28.25,56,3,80
2017,3,18,0,33.7,21.8,27.75,51,4,70
2017,3,19,0,34,22.3,28.15,54,2,80
2017,3,20,0,34.5,21.3,27.9,58,4,80
2017,3,21,0.2,33,22.6,27.8,60,3,60
2017,3,22,0,31.8,23.2,27.5,79,2,60
2017,3,23,0,34.5,24.7,29.6,72,3,60
2017,3,24,0,35.3,24,29.65,65,2,80
2017,3,25,0,33,23.5,28.25,73,2,50
2017,3,26,0,33,24.7,28.85,67,2,230
2017,3,27,0,34.7,25.2,29.95,58,3,60
2017,3,28,0,34.1,24.2,29.15,57,5,70
2017,3,29,0,34.6,23.5,29.05,54,4,70
2017,3,30,0,35.6,24.2,29.9,53,4,60
2017,3,31,0,34.9,24,29.45,64,3,230
2017,4,1,0,33.4,24.8,29.1,65,2,60
2017,4,2,0,34,24.2,29.1,64,6,60
2017,4,3,0,33.4,23.7,28.55,57,6,60
2017,4,4,0,33.4,23.6,28.5,56,6,60
2017,4,5,0,34,23.6,28.8,54,4,60
2017,4,6,0,35.4,24.2,29.8,58,4,60
2017,4,7,0,36.3,26,31.15,57,5,70
2017,4,8,0,36.3,26.4,31.35,63,4,70
2017,4,9,0,34.2,26.1,30.15,71,3,60
2017,4,10,0,32.6,24.3,28.45,72,2,210
2017,4,11,0,32.7,26.2,29.45,71,2,210
2017,4,12,0,36.3,23.6,29.95,65,2,210
2017,4,13,0,37,25.5,31.25,66,1,240
2017,4,14,0,37,24.8,30.9,58,1,50
2017,4,15,0,36.9,25.5,31.2,53,4,80
2017,4,16,-1,33.8,25.8,29.8,67,3,70
2017,4,17,0,32.8,24.9,28.85,73,3,60
2017,4,18,0,32.4,23.7,28.05,74,3,220
2017,4,19,0,33.2,25.8,29.5,71,3,220
2017,4,20,0,33.7,25.2,29.45,66,3,60
2017,4,21,0,33,25.6,29.3,67,2,220
2017,4,22,0,33.6,26.8,30.2,70,2,220
2017,4,23,-1,34.8,25.3,30.05,69,2,210
2017,4,24,0,34.9,25.3,30.1,66,2,230
2017,4,25,0,35.4,26.3,30.85,65,3,80
2017,4,26,0,34.5,25.8,30.15,64,3,330
2017,4,27,0,32.8,24.8,28.8,71,3,330
2017,4,28,0,33.7,25.4,29.55,66,2,40
2017,4,29,0,33.1,25.2,29.15,69,2,40
2017,4,30,0,33.3,24.1,28.7,70,2,210
2017,5,1,0,33.3,25.2,29.25,67,2,210
2017,5,2,-1,33.6,25.2,29.4,70,2,220
2017,5,3,0,34.2,26.7,30.45,65,2,220
2017,5,4,25,35.2,23.7,29.45,67,4,60
2017,5,5,0,36.5,26.2,31.35,56,3,80
2017,5,6,0,36.2,26.1,31.15,60,3,50
2017,5,7,0,36.9,26.3,31.6,59,3,80
2017,5,8,0,36.6,26.1,31.35,57,4,80
2017,5,9,0,35.4,26.6,31,63,4,80
2017,5,10,0,37.3,25.6,31.45,56,4,100
2017,5,11,0,37.5,26.6,32.05,52,5,80
2017,5,12,0,36.9,27.5,32.2,56,3,70
2017,5,13,0,37.3,26.9,32.1,65,4,60
2017,5,14,0,36.5,26,31.25,58,3,60
2017,5,15,0,36.4,25.6,31,63,3,70
2017,5,16,0,33.5,25.8,29.65,70,4,230
2017,5,17,-1,32.6,26,29.3,71,3,240
2017,5,18,-1,31.4,25.6,28.5,72,2,60
2017,5,19,0.5,34,26,30,71,3,230
2017,5,20,0.2,31.2,25.1,28.15,80,2,280
2017,5,21,1.7,30.7,25,27.85,81,2,340
2017,5,22,0.5,32.6,25,28.8,72,2,210
2017,5,23,0,32.8,25.1,28.95,74,3,210
2017,5,24,-1,32.6,25.3,28.95,77,2,220
2017,5,25,3,30.8,25.4,28.1,76,3,220
2017,5,26,6.2,30.7,24.6,27.65,79,2,230
2017,5,27,10,32.7,25,28.85,79,3,220
2017,5,28,0.1,33.7,26.6,30.15,77,3,230
2017,5,29,0,33.5,26,29.75,75,3,60
2017,5,30,0,33.9,26.2,30.05,74,4,60
2017,5,31,0,33.6,25.4,29.5,75,2,60
2017,6,1,0,33.9,26.1,30,74,2,210
2017,6,2,3,31.8,25.5,28.65,77,3,210
2017,6,3,35.4,32.4,25,28.7,82,2,210
2017,6,4,1.1,32.8,25.6,29.2,80,3,210
2017,6,5,0,32.6,25.5,29.05,77,3,220
2017,6,6,0,33.7,26,29.85,75,3,230
2017,6,7,3,32.6,25.4,29,78,3,60
2017,6,8,1.2,36.2,25.5,30.85,70,3,70
2017,6,9,-1,36.3,26.2,31.25,67,3,80
2017,6,10,10.1,31.2,25.5,28.35,76,4,80
2017,6,11,14.2,28.8,24.6,26.7,84,3,210
2017,6,12,0,33.7,24.2,28.95,74,3,210
2017,6,13,0,33.2,25.4,29.3,75,3,230
2017,6,14,0,33.7,24.8,29.25,74,3,210
2017,6,15,0,33.8,24,28.9,71,3,210
2017,6,16,0,34,23.8,28.9,70,3,210
2017,6,17,0,33.4,24.8,29.1,71,3,200
2017,6,18,0,34,26.1,30.05,69,3,230
2017,6,19,-1,33.2,24.6,28.9,73,3,50
2017,6,20,11,32.3,25,28.65,80,2,80
2017,6,21,1.6,32.4,25,28.7,76,3,70
2017,6,22,43.5,32.4,24,28.2,73,4,210
2017,6,23,0,31.4,24.6,28,78,2,210
2017,6,24,0,33.4,25.5,29.45,69,3,210
2017,6,25,0,33.8,24,28.9,70,4,230
2017,6,26,1.2,33.7,25.6,29.65,73,3,50
2017,6,27,0,34.8,25.2,30,76,3,50
2017,6,28,1.1,32.8,23.8,28.3,73,3,70
2017,6,29,1,32.8,23.9,28.35,74,3,60
2017,6,30,0,32.4,25.6,29,75,3,220
2017,7,1,1.5,32.6,25.1,28.85,73,3,70
2017,7,2,6.5,32.6,24.4,28.5,78,2,80
2017,7,3,7,30,23.8,26.9,88,2,80
2017,7,4,10.5,31,24,27.5,82,2,80
2017,7,5,8.6,30.3,24.7,27.5,82,2,80
2017,7,6,0,33.8,25.3,29.55,75,3,70
2017,7,7,0,35.3,24.7,30,75,3,60
2017,7,8,6.5,34,23.4,28.7,76,3,70
2017,7,9,4,33.8,24.6,29.2,70,4,60
2017,7,10,1.7,32.4,24.6,28.5,77,3,80
2017,7,11,26.5,34.3,23.8,29.05,72,4,60
2017,7,12,-1,34,24,29,75,4,90
2017,7,13,7,31,23.6,27.3,79,2,220
2017,7,14,34.6,31.3,23.4,27.35,83,3,60
2017,7,15,6.2,31.3,24.6,27.95,81,2,70
2017,7,16,21,32.1,24.3,28.2,81,3,70
2017,7,17,0,33.6,25,29.3,74,4,80
2017,7,18,0,32.4,25.4,28.9,74,3,80
2017,7,19,-1,31.5,24.6,28.05,69,4,80
2017,7,20,25.5,27.5,23.5,25.5,84,1,120
2017,7,21,93,28.7,22.8,25.75,83,2,160
2017,7,22,88,28,22.5,25.25,90,3,60
2017,7,23,6.5,31.6,25.1,28.35,82,2,200
2017,7,24,31.1,29.8,23.8,26.8,87,2,190
2017,7,25,87,31.1,24.4,27.75,84,6,200
2017,7,26,75.2,28.3,23.8,26.05,87,5,230
2017,7,27,64,30.5,24.4,27.45,88,8,220
2017,7,28,37.1,29.5,25.2,27.35,80,11,230
2017,7,29,52.5,29.5,25.1,27.3,79,12,220
2017,7,30,13,29.5,26.8,28.15,81,9,230
2017,7,31,17,29.8,26.7,28.25,83,7,230
2017,8,1,65.4,31.2,25.3,28.25,85,5,230
2017,8,2,124.3,29.6,23.7,26.65,89,2,60
2017,8,3,72.8,29.1,23.8,26.45,87,2,180
2017,8,4,16,29.6,25.2,27.4,84,5,220
2017,8,5,10.8,30.2,24.2,27.2,79,3,210
2017,8,6,1.6,30.4,24,27.2,81,2,210
2017,8,7,4,32.5,24,28.25,81,3,220
2017,8,8,0,32.7,24.6,28.65,80,2,210
2017,8,9,0,33.2,25,29.1,75,2,210
2017,8,10,0,33.4,24.5,28.95,76,2,340
2017,8,11,0,33.6,25,29.3,72,2,210
2017,8,12,8.6,33.4,24,28.7,78,2,50
2017,8,13,0,33.6,25,29.3,76,3,90
2017,8,14,0,31.9,25.6,28.75,77,3,60
2017,8,15,0,33.2,25.5,29.35,76,3,220
2017,8,16,7.5,34,24.6,29.3,74,3,240
2017,8,17,0,36.3,25.2,30.75,71,2,50
2017,8,18,8.5,34.4,23.6,29,78,3,60
2017,8,19,68.8,32.2,23.4,27.8,84,3,360
2017,8,20,32.4,32.4,23.8,28.1,79,2,240
2017,8,21,71.9,29.2,23.9,26.55,89,3,220
2017,8,22,55.3,30.4,23.9,27.15,86,7,210
2017,8,23,34,29.9,24,26.95,88,4,220
2017,8,24,5.3,29.7,24,26.85,87,2,220
2017,8,25,147,30.2,22.8,26.5,85,2,340
2017,8,26,24,27.5,22.6,25.05,90,2,70
2017,8,27,0,33,23.5,28.25,76,2,70
2017,8,28,-1,32.3,24.6,28.45,77,3,60
2017,8,29,-1,31.3,25.58,28.44,76,2,340
2017,8,30,25,30.6,24.9,27.75,80,5,210
2017,8,31,5.9,29.7,24.4,27.05,85,5,210
2017,9,1,51.5,31.4,24.8,28.1,78,6,240
2017,9,2,4,32.2,25.2,28.7,82,3,210
2017,9,3,1,31.8,23.6,27.7,83,3,210
2017,9,4,1.6,32.4,24.8,28.6,82,2,210
2017,9,5,-1,30.3,23.6,26.95,83,2,330
2017,9,6,0,32.8,22.9,27.85,73,2,60
2017,9,7,0,32.8,24.7,28.75,73,3,210
2017,9,8,0,35.3,25.4,30.35,77,3,60
2017,9,9,2,35.2,25.1,30.15,74,3,350
2017,9,10,38.5,35.4,23.3,29.35,75,3,80
2017,9,11,10,28.6,24.9,26.75,84,2,340
2017,9,12,96.5,28.2,23.8,26,88,2,140
2017,9,13,2,31.7,24.8,28.25,79,3,210
2017,9,14,0,33,24.8,28.9,77,2,200
2017,9,15,-1,31.9,24.1,28,78,3,220
2017,9,16,0,33.9,26.4,30.15,74,3,330
2017,9,17,0,31.7,25.1,28.4,78,3,60
2017,9,18,2.4,32.8,24.8,28.8,76,3,210
2017,9,19,1.3,32.5,24.3,28.4,80,3,210
2017,9,20,0.8,31.5,24.8,28.15,80,3,220
2017,9,21,0,32,25.7,28.85,77,3,210
2017,9,22,24.5,32.4,24.2,28.3,79,2,210
2017,9,23,43.8,28.7,24.3,26.5,88,3,210
2017,9,24,0,33.8,25,29.4,75,3,60
2017,9,25,10.9,33.6,24.8,29.2,81,3,60
2017,9,26,14.2,30.8,24.5,27.65,88,4,70
2017,9,27,0,32.3,24.8,28.55,78,3,70
2017,9,28,0,31.5,24.2,27.85,82,2,210
2017,9,29,1,32.4,24.2,28.3,80,2,60
2017,9,30,1.1,31.9,23.8,27.85,80,2,60
2017,10,1,0,33,25.4,29.2,78,2,60
2017,10,2,0,31.8,24.6,28.2,77,3,50
2017,10,3,0,32.9,24.2,28.55,75,3,70
2017,10,4,2,32.4,26,29.2,73,2,60
2017,10,5,5.3,29.7,24.8,27.25,86,2,60
2017,10,6,0,33.4,23.4,28.4,78,3,60
2017,10,7,25.2,33.1,24,28.55,80,3,60
2017,10,8,0,31.1,24.8,27.95,79,3,60
2017,10,9,1,31.3,24.5,27.9,85,2,60
2017,10,10,18.5,32.2,23.8,28,80,2,60
2017,10,11,0,32.6,25,28.8,82,2,210
2017,10,12,0.5,31.7,25.9,28.8,83,2,220
2017,10,13,53.8,30.6,25.6,28.1,80,6,220
2017,10,14,89.3,28.4,23.7,26.05,89,5,210
2017,10,15,12.9,29.8,24.6,27.2,85,2,70
2017,10,16,1.6,33,23.9,28.45,76,3,70
2017,10,17,0,34.2,24.8,29.5,71,3,50
2017,10,18,0,33.4,24.6,29,76,1,50
2017,10,19,0,32.2,24.6,28.4,76,2,160
2017,10,20,21,33,25.58,29.29,77,2,70
2017,10,21,5.6,30.1,24.7,27.4,89,2,210
2017,10,22,0,31.5,24.7,28.1,77,3,210
2017,10,23,6.4,33.2,24.9,29.05,76,4,50
2017,10,24,0,32.2,23,27.6,69,3,60
2017,10,25,0,32,24.3,28.15,70,2,70
2017,10,26,0,32.1,24,28.05,75,2,60
2017,10,27,0,32.4,23.6,28,77,2,60
2017,10,28,0,33,23.7,28.35,74,2,60
2017,10,29,0,33.4,24.7,29.05,72,2,70
2017,10,30,0.1,33.5,24.2,28.85,73,4,60
2017,10,31,0,29.7,24,26.85,75,5,50
2017,11,1,9.7,27.8,23.2,25.5,81,4,60
2017,11,2,0,31.2,24.8,28,80,3,70
2017,11,3,2,32.2,23.6,27.9,74,3,50
2017,11,4,2,30.3,24.2,27.25,78,3,80
2017,11,5,0,29.4,25.7,27.55,76,3,60
2017,11,6,0,33,25.6,29.3,73,3,50
2017,11,7,0,32.4,24.9,28.65,70,4,50
2017,11,8,0,33.2,23.8,28.5,70,3,60
2017,11,9,49.5,31.3,23.1,27.2,76,5,60
2017,11,10,1.4,31,24.2,27.6,83,3,70
2017,11,11,0,32.6,24,28.3,75,3,70
2017,11,12,0,32.9,23.4,28.15,72,3,50
2017,11,13,0,33.2,25.7,29.45,69,4,70
2017,11,14,0,33.8,24.6,29.2,73,3,60
2017,11,15,0,33.3,23.8,28.55,71,2,70
2017,11,16,0,32.9,23.8,28.35,74,4,60
2017,11,17,5.6,32.1,25.2,28.65,78,4,60
2017,11,18,0,33.1,25,29.05,74,4,60
2017,11,19,-1,32.9,24.9,28.9,72,3,70
2017,11,20,0,32.5,25.4,28.95,71,3,60
2017,11,21,0,32.3,24.5,28.4,76,2,60
2017,11,22,0,32.9,24.6,28.75,72,3,60
2017,11,23,0,33.6,25.4,29.5,63,4,60
2017,11,24,2.5,33,23.7,28.35,75,4,60
2017,11,25,0,32.5,25.2,28.85,73,4,60
2017,11,26,0,32.5,23.5,28,66,4,60
2017,11,27,0,32.7,23.7,28.2,68,4,60
2017,11,28,0,32.9,24.5,28.7,64,5,60
2017,11,29,-1,32.5,24.9,28.7,65,4,60
2017,11,30,0,32.2,24.6,28.4,77,3,70
2017,12,1,0,33,25,29,69,4,70
2017,12,2,0,32.8,25,28.9,67,3,60
2017,12,3,0,33.5,22.8,28.15,72,3,60
2017,12,4,0,33.5,24,28.75,71,2,60
2017,12,5,0,31.4,24.7,28.05,71,4,60
2017,12,6,0,32.6,23.8,28.2,67,4,60
2017,12,7,1.6,32.3,24,28.15,72,3,50
2017,12,8,-1,30.6,23.8,27.2,78,2,70
2017,12,9,0,32.2,24.7,28.45,70,2,60
2017,12,10,0,32.4,25.2,28.8,74,2,70
2017,12,11,0,31.3,24,27.65,72,3,90
2017,12,12,0,32.3,25,28.65,65,4,60
2017,12,13,0,33,23.6,28.3,64,5,50
2017,12,14,0,31.4,23.1,27.25,62,7,50
2017,12,15,0,30.3,19.1,24.7,60,5,50
2017,12,16,0,30.1,21,25.55,71,3,60
2017,12,17,0,30,23.3,26.65,57,5,60
2017,12,18,0,27.4,24.7,26.05,72,3,60
2017,12,19,14,31.2,23.5,27.35,79,3,60
2017,12,20,0,32,24.6,28.3,67,5,50
2017,12,21,0,31.2,25.6,28.4,61,8,50
2017,12,22,0,32.6,25.2,28.9,59,7,60
2017,12,23,0,31.1,24.7,27.9,68,6,60
2017,12,24,0,32,25,28.5,66,4,60
2017,12,25,0,32.3,25.7,29,64,5,60
2017,12,26,-1,31.3,25,28.15,68,5,60
2017,12,27,0,30.3,24.87,27.585,71,3,50
2017,12,28,0,32,23.8,27.9,68,6,60
2017,12,29,0,31.8,24.6,28.2,61,6,60
2017,12,30,0,31.6,23.5,27.55,60,7,60
2017,12,31,0,31.6,22.5,27.05,63,6,60
2018,1,1,0,30.8,24.2,27.5,62,7,50
2018,1,2,0,30,23.5,26.75,63,7,60
2018,1,3,0,31.1,24.9,28,61,7,60
2018,1,4,0,30.7,24.2,27.45,66,5,60
2018,1,5,0,32.5,25,28.75,68,3,70
2018,1,6,0,32.8,24.2,28.5,64,3,70
2018,1,7,0,32.8,24.7,28.75,67,4,60
2018,1,8,0,32.7,24.2,28.45,71,4,70
2018,1,9,0,33.2,23.1,28.15,70,3,80
2018,1,10,0,33.3,24.5,28.9,64,3,60
2018,1,11,0,31.8,24.3,28.05,56,7,60
2018,1,12,0,29.7,23.4,26.55,54,8,50
2018,1,13,0,30,22.6,26.3,55,8,50
2018,1,14,0,31,23.3,27.15,58,7,50
2018,1,15,0,31.7,22.6,27.15,56,5,60
2018,1,16,0,31.4,24,27.7,66,5,70
2018,1,17,0,30.7,22.8,26.75,73,3,50
2018,1,18,0,31.9,24.8,28.35,71,5,60
2018,1,19,0,30.5,23.7,27.1,60,6,60
2018,1,20,0,32.3,23.4,27.85,58,6,60
2018,1,21,0,30.7,23.8,27.25,75,2,60
2018,1,22,0,31.8,22.7,27.25,68,2,70
2018,1,23,0,33,22.8,27.9,66,3,60
2018,1,24,0,32.2,24,28.1,72,2,90
2018,1,25,0,33.7,23.5,28.6,61,3,60
2018,1,26,0.4,33.8,23.5,28.65,67,4,50
2018,1,27,0.2,29.2,24.2,26.7,68,6,60
2018,1,28,0,29.9,22.8,26.35,73,3,70
2018,1,29,0,31.5,24.5,28,71,3,60
2018,1,30,0,31.9,23.6,27.75,66,4,60
2018,1,31,0,32.6,23.5,28.05,67,3,60
2018,2,1,0,32.8,22.8,27.8,67,2,50
2018,2,2,0,32.7,22.4,27.55,66,4,60
2018,2,3,0,32.1,21.5,26.8,60,2,70
2018,2,4,0,30.1,23,26.55,69,4,60
2018,2,5,0,30.4,20.8,25.6,70,3,60
2018,2,6,0,31.3,20.4,25.85,66,3,50
2018,2,7,0,29.8,21.8,25.8,72,4,350
2018,2,8,0,29.6,21.2,25.4,70,2,50
2018,2,9,0,31,21.5,26.25,70,3,210
2018,2,10,0,30.5,23.5,27,74,3,220
2018,2,11,0,31.5,24.6,28.05,70,2,60
2018,2,12,0,33.4,23.9,28.65,60,6,60
2018,2,13,0,31.6,23.8,27.7,62,9,60
2018,2,14,-1,32.3,23.4,27.85,60,5,60
2018,2,15,0,33.6,24.6,29.1,66,4,50
2018,2,16,0,33.5,24.7,29.1,70,4,60
2018,2,17,0,34.8,23.8,29.3,69,4,50
2018,2,18,0,34.4,23.6,29,62,3,60
2018,2,19,0,34.4,23,28.7,58,4,60
2018,2,20,0,34.6,24.4,29.5,62,4,60
2018,2,21,0,34.4,25.2,29.8,63,4,50
2018,2,22,0,35.4,24,29.7,67,3,60
2018,2,23,0,33.9,23,28.45,59,4,60
2018,2,24,0,34.8,24.5,29.65,55,5,60
2018,2,25,0,33.6,24.6,29.1,58,5,50
2018,2,26,0,34.8,24.8,29.8,60,4,60
2018,2,27,0,34.9,24.4,29.65,61,4,60
2018,2,28,0,35.5,24.9,30.2,64,3,60
2018,3,1,0,35.7,24.9,30.3,66,4,60
2018,3,2,0,34.8,24.3,29.55,68,3,60
2018,3,3,0,35.4,24.5,29.95,60,3,60
2018,3,4,0,36.7,24.1,30.4,57,3,50
2018,3,5,0,35.9,24.7,30.3,59,3,80
2018,3,6,0,36,24.7,30.35,63,3,60
2018,3,7,0,35.5,25.7,30.6,65,3,60
2018,3,8,0,34.8,24.6,29.7,71,3,50
2018,3,9,4.5,32.5,21.6,27.05,78,3,60
